Date,Time_24hr,Lat,Lon,Alt,Rel_Alt
10/19/2016,14:04:25,33.4677278,-88.7625876,80.250,.40,
10/19/2016,14:04:26,33.4677280,-88.7625876,80.170,.20,
10/19/2016,14:04:26,33.4677279,-88.7625876,80.160,.40,
10/19/2016,14:04:27,33.4677279,-88.7625876,80.140,.10,
10/19/2016,14:04:27,33.4677279,-88.7625876,80.180,.20,
10/19/2016,14:04:28,33.4677278,-88.7625875,80.180,.40,
10/19/2016,14:04:29,33.4677275,-88.7625875,80.160,.20,
10/19/2016,14:04:30,33.4677276,-88.7625874,80.170,.30,
10/19/2016,14:04:30,33.4677277,-88.7625874,80.220,.20,
10/19/2016,14:04:31,33.4677279,-88.7625875,80.300,.40,
10/19/2016,14:04:31,33.4677281,-88.7625875,80.320,.70,
10/19/2016,14:04:32,33.4677281,-88.7625875,80.370,.80,
10/19/2016,14:04:33,33.4677279,-88.7625874,80.360,.40,
10/19/2016,14:04:33,33.4677277,-88.7625874,80.370,.40,
10/19/2016,14:04:34,33.4677277,-88.7625874,80.390,.60,
10/19/2016,14:04:34,33.4677277,-88.7625875,80.390,.70,
10/19/2016,14:04:35,33.4677277,-88.7625875,80.390,.70,
10/19/2016,14:04:35,33.4677279,-88.7625874,80.370,.40,
10/19/2016,14:04:36,33.4677280,-88.7625873,80.390,.49,
10/19/2016,14:04:37,33.4677279,-88.7625872,80.410,.49,
10/19/2016,14:04:37,33.4677278,-88.7625871,80.390,.30,
10/19/2016,14:04:38,33.4677279,-88.7625870,80.360,.30,
10/19/2016,14:04:38,33.4677281,-88.7625872,80.320,.20,
10/19/2016,14:04:39,33.4677282,-88.7625876,80.290,.10,
10/19/2016,14:04:39,33.4677284,-88.7625880,80.250,.10,
10/19/2016,14:04:40,33.4677285,-88.7625884,80.220,.10,
10/19/2016,14:04:40,33.4677285,-88.7625888,80.220,.40,
10/19/2016,14:04:41,33.4677287,-88.7625893,80.200,.20,
10/19/2016,14:04:42,33.4677288,-88.7625896,80.170,.30,
10/19/2016,14:04:42,33.4677289,-88.7625898,80.140,.60,
10/19/2016,14:04:43,33.4677290,-88.7625899,80.070,.20,
10/19/2016,14:04:43,33.4677292,-88.7625900,80.040,.20,
10/19/2016,14:04:44,33.4677292,-88.7625902,79.980,.20,
10/19/2016,14:04:44,33.4677292,-88.7625905,79.940,.20,
10/19/2016,14:04:45,33.4677291,-88.7625906,79.910,.10,
10/19/2016,14:04:45,33.4677286,-88.7625906,79.940,.20,
10/19/2016,14:04:46,33.4677281,-88.7625906,79.960,.30,
10/19/2016,14:04:46,33.4677276,-88.7625905,79.930,.30,
10/19/2016,14:04:47,33.4677272,-88.7625905,79.890,.20,
10/19/2016,14:04:48,33.4677269,-88.7625904,79.920,.0,
10/19/2016,14:04:48,33.4677268,-88.7625903,80.030,.60,
10/19/2016,14:04:49,33.4677266,-88.7625902,80.040,.49,
10/19/2016,14:04:49,33.4677265,-88.7625901,79.980,.30,
10/19/2016,14:04:50,33.4677265,-88.7625899,79.950,.30,
10/19/2016,14:04:50,33.4677265,-88.7625898,79.950,.20,
10/19/2016,14:04:51,33.4677264,-88.7625896,79.980,.-30,
10/19/2016,14:04:52,33.4677264,-88.7625893,80.030,.10,
10/19/2016,14:04:52,33.4677263,-88.7625891,80.050,.10,
10/19/2016,14:04:53,33.4677263,-88.7625887,80.090,.0,
10/19/2016,14:04:53,33.4677264,-88.7625883,80.120,.-30,
10/19/2016,14:04:54,33.4677263,-88.7625879,80.180,.-20,
10/19/2016,14:04:54,33.4677264,-88.7625874,80.260,.20,
10/19/2016,14:04:55,33.4677262,-88.7625871,80.310,.49,
10/19/2016,14:04:55,33.4677261,-88.7625869,80.340,.40,
10/19/2016,14:04:56,33.4677260,-88.7625867,80.390,.40,
10/19/2016,14:04:56,33.4677258,-88.7625866,80.400,.40,
10/19/2016,14:04:57,33.4677256,-88.7625866,80.370,.20,
10/19/2016,14:04:57,33.4677256,-88.7625867,80.390,.40,
10/19/2016,14:04:58,33.4677254,-88.7625868,80.410,.49,
10/19/2016,14:04:59,33.4677255,-88.7625870,80.420,.70,
10/19/2016,14:05:00,33.4677257,-88.7625871,80.350,.40,
10/19/2016,14:05:00,33.4677259,-88.7625874,80.190,.40,
10/19/2016,14:05:01,33.4677261,-88.7625877,80.150,.70,
10/19/2016,14:05:02,33.4677262,-88.7625880,80.090,.110,
10/19/2016,14:05:02,33.4677265,-88.7625882,79.980,.49,
10/19/2016,14:05:03,33.4677267,-88.7625885,79.950,.49,
10/19/2016,14:05:03,33.4677265,-88.7625889,79.920,.40,
10/19/2016,14:05:04,33.4677263,-88.7625892,79.920,.60,
10/19/2016,14:05:04,33.4677261,-88.7625896,79.770,.40,
10/19/2016,14:05:05,33.4677260,-88.7625898,79.800,.70,
10/19/2016,14:05:06,33.4677260,-88.7625898,79.800,.49,
10/19/2016,14:05:06,33.4677258,-88.7625897,79.780,.49,
10/19/2016,14:05:07,33.4677259,-88.7625899,79.710,.60,
10/19/2016,14:05:08,33.4677256,-88.7625901,79.570,.120,
10/19/2016,14:05:08,33.4677258,-88.7625908,79.350,.130,
10/19/2016,14:05:09,33.4677260,-88.7625914,79.120,.89,
10/19/2016,14:05:09,33.4677262,-88.7625922,78.930,.80,
10/19/2016,14:05:10,33.4677263,-88.7625927,78.720,.10,
10/19/2016,14:05:10,33.4677262,-88.7625931,78.630,.0,
10/19/2016,14:05:11,33.4677260,-88.7625934,78.640,.49,
10/19/2016,14:05:11,33.4677260,-88.7625939,78.550,.20,
10/19/2016,14:05:12,33.4677259,-88.7625942,78.450,.49,
10/19/2016,14:05:13,33.4677258,-88.7625946,78.320,.20,
